equipo,ataque,defensa,mult_ataque,mult_defensa,fuerza_neta
Arsenal FC,0.35460333777180414,0.43079055979655145,1.4256150544688,0.6499950316113253,0.7853938975683556
Manchester City FC,0.44008718638570493,0.21497599436888837,1.552842599343373,0.8065608019460109,0.6550631807545932
Liverpool FC,0.35832021060751973,-0.11158429489417417,1.4309237440893732,1.1180479857700674,0.24673591571334558
Manchester United FC,0.24667741702204748,-0.09632730230918077,1.2797662153881726,1.101119403944308,0.15035011471286672
Aston Villa FC,0.1807167141706053,-0.11260721811898704,1.198075733337559,1.1191922481676806,0.06810949605161827
AFC Bournemouth,0.15530145280128324,-0.12079390716894992,1.1680100079285254,1.1283923348310652,0.034507545632333325
Newcastle United FC,0.2071076502370095,-0.1744061925830958,1.23011498682325,1.1905390557530353,0.03270145765391369
Chelsea FC,0.1627613407872584,-0.13461847423350323,1.1767558125570288,1.1441001973672689,0.02814286655375517
Brighton & Hove Albion FC,0.11440791883458021,-0.09510655075604335,1.1212093940427994,1.0997760308509765,0.019301368078536857
Brentford FC,0.16162428409125953,-0.15698601481079136,1.1754185349051396,1.1699792514052965,0.004638269280468177
Nottingham Forest FC,0.06972904633293776,-0.0935185487304926,1.0722176205955671,1.0980309702329485,-0.02378950239755484
Fulham FC,-0.022928625894632654,-0.10971514373120436,0.9773322374980407,1.1159601369376102,-0.13264376962583702
Everton FC,-0.06699405053871688,-0.06984915495773246,0.9352007652609702,1.0723464109137166,-0.13684320549644935
Leeds United FC,0.03187913251851726,-0.1704133322948188,1.0323927150563588,1.1857948773594387,-0.13853419977630155
Sunderland AFC,-0.11770931540310821,-0.07009304418581969,0.8889544204183821,1.0726079765473402,-0.18780235958892788
Crystal Palace FC,-0.0691633825325989,-0.1546876334520407,0.9331742032578324,1.16729328077855,-0.2238510159846396
Tottenham Hotspur FC,0.05145041961184749,-0.28671167852198287,1.0527969869148543,1.3320401023335078,-0.23526125891013538
West Ham United FC,-0.021020647239279704,-0.3052542493333563,0.9791987466099141,1.3569699678605367,-0.32627489657263603
Luton Town FC,0.05153079821011715,-0.6443008840285795,1.052881612661929,1.9046549889780149,-0.5927700858184624
Wolverhampton Wanderers FC,-0.3356969716432658,-0.34990214511987694,0.7148396896953683,1.4189286927023772,-0.6855991167631428
Burnley FC,-0.23462000280258183,-0.47846985541208154,0.7908713214215589,1.6136034656199254,-0.7130898582146634
Ipswich Town FC,-0.3415692442250301,-0.620637426279798,0.7106542572128046,1.860113349165352,-0.9622066705048281
Leicester City FC,-0.43019424421215235,-0.5330485512143864,0.6503827493680383,1.7041194934531345,-0.9632427954265388
Sheffield United FC,-0.3400403377112974,-0.8168044634890513,0.711741612155884,2.263255952617047,-1.1568448012003487
Southampton FC,-0.6062600871799079,-0.6204143560707817,0.5453867586072522,1.8596984595682347,-1.2266744432506895
