equipo,ataque,defensa,mult_ataque,mult_defensa,fuerza_neta
Arsenal,0.2847561812174323,0.5410242854510402,1.32943784668504,0.5821516574113944,0.8257804666684725
Manchester City,0.40114429123052275,0.034543957502470815,1.4935327566323429,0.966045873789267,0.43568824873299355
Manchester United,0.24514520707333828,0.029540798231378305,1.2778068463266465,0.97089126618664,0.2746860053047166
Liverpool,0.18708217533511,0.00834486963341777,1.2057263619468743,0.9916898521411606,0.19542704496852778
Bournemouth,0.23216074790031296,-0.06881034388247244,1.2613224674712509,1.0712330239850043,0.1633504040178405
Brighton,0.06563516588523816,0.0007131031904613871,1.067837062701214,0.9992871510071921,0.06634826907569955
Chelsea,0.2041005242784873,-0.1505211682052724,1.2264214323894562,1.1624399116093627,0.0535793560732149
Leeds,-0.014626081461762705,-0.04786511715313785,0.9854803600948524,1.0490291497431885,-0.06249119861490055
Brentford,0.1083732906606215,-0.1729752115896509,1.1144636866339683,1.1888366353484248,-0.0646019209290294
Aston Villa,0.0192289247563871,-0.1389435632762933,1.019414991235964,1.149059249034274,-0.11971463851990621
Crystal Palace,0.06437389449114463,-0.21556534478532396,1.0664910793640494,1.240563044600438,-0.15119145029417935
Newcastle United,-0.03506926106400644,-0.16096658245259673,0.9655385397150231,1.1746457143791396,-0.1960358435166032
Tottenham,-0.20117998899777684,-0.06106639447833277,0.8177652295628016,1.0629694871489248,-0.2622463834761096
Fulham,-0.09841553496139455,-0.16817787523612907,0.9062722377010779,1.1831470444916856,-0.2665934101975236
Everton,-0.10876124359305715,-0.1984620425387656,0.8969445431916371,1.2195257364348475,-0.30722328613182276
Nottingham Forest,-0.11581850727945843,-0.23213113901780558,0.8906368527351632,1.261285121675394,-0.347949646297264
Sunderland,-0.21693724077317397,-0.1311168921550948,0.8049804876727544,1.1401010423911222,-0.3480541329282688
West Ham,-0.12409146029356875,-0.2535668970162608,0.8832990503977881,1.2886135810056296,-0.37765835730982955
Wolverhampton Wanderers,-0.44370953514438993,-0.3100392703582117,0.6416517710509445,1.3634786573761288,-0.7537488055026016
Burnley,-0.4533915492600065,-0.533505622327904,0.6354692673864957,1.7048985752819101,-0.9868971715879105
